Timestamp,Power,Current,Class,
3/27/2022 11:18,2744.54,11.93,"Overcurrent fault	",
3/27/2022 11:19,2769.51,12.04,"Overcurrent fault	",
3/27/2022 11:20,2754.39,11.98,"Running Smoothly	",
3/27/2022 11:21,2757.06,11.99,"Overcurrent fault	",
3/27/2022 11:22,2755.55,11.98,"Running Smoothly	",
3/27/2022 11:23,2764.07,12.02,"Overcurrent fault	",
3/27/2022 11:24,2755.7,11.98,Running Smoothly,
3/27/2022 11:25,2759.75,12,Overcurrent fault,
3/27/2022 11:26,2776.68,12.07,Overcurrent fault,
3/27/2022 11:27,2748.06,11.95,"Overcurrent fault	",
3/27/2022 11:28,2779.97,12.09,"Overcurrent fault	",
3/27/2022 11:29,2752.62,11.97,"Running Smoothly	",
3/27/2022 11:30,2770.57,12.05,Overcurrent fault,
3/27/2022 11:31,2756.09,11.98,"Overcurrent fault	",
3/27/2022 11:33,2757.38,11.99,"Overcurrent fault	",
3/27/2022 11:33,2763.6,12.02,"Overcurrent fault	",
3/27/2022 11:34,2764.4,12.02,"Overcurrent fault	",
3/27/2022 11:35,2759.1,12,Overcurrent fault,
3/27/2022 11:36,2769.27,12.04,"Overcurrent fault	",
3/27/2022 11:37,2755.79,11.98,"Running Smoothly	",
3/27/2022 11:38,2770.37,12.05,Overcurrent fault,
3/27/2022 11:39,2749.97,11.96,Running Smoothly,
3/27/2022 11:40,2574.88,11.2,Running Smoothly,
3/28/2022 11:39,3188.11,13.86,Overcurrent fault,
3/28/2022 11:40,3119.72,13.56,Overcurrent fault,
3/28/2022 11:41,3150.62,13.71,Overcurrent fault,
3/28/2022 11:42,3105.62,13.51,Overcurrent fault,
3/28/2022 11:43,2974.2,12.94,,Overcurrent fault
3/28/2022 11:44,3095.12,13.47,Overcurrent fault,
3/28/2022 11:45,2885.3,12.55,Overcurrent fault,
3/28/2022 11:46,2875.04,12.5,Overcurrent fault,
3/28/2022 11:47,1288.5,12.55,Overcurrent fault,
3/28/2022 11:48,2861.6,12.44,Overcurrent fault,
3/28/2022 11:49,2863.01,12.45,Overcurrent fault,
3/28/2022 11:50,2881.9,12.53,Overcurrent fault,
3/28/2022 11:51,2880.58,12.52,Overcurrent fault,
3/28/2022 11:52,2899.7,12.61,Overcurrent fault,
3/28/2022 11:54,2882.13,12.53,Overcurrent fault,
3/28/2022 11:55,2891.81,12.57,Overcurrent fault,
3/28/2022 11:56,2888.57,12.56,Overcurrent fault,
3/28/2022 11:57,2872.2,12.49,Overcurrent fault,
3/28/2022 11:58,2920.3,12.7,Overcurrent fault,
3/28/2022 11:59,3107.68,13.51,Overcurrent fault,
3/28/2022 12:00,3099.11,13.47,Overcurrent fault,
3/28/2022 12:01,3101.52,13.48,Overcurrent fault,
3/28/2022 12:02,3149.47,13.69,Overcurrent fault,
3/28/2022 12:03,3130.96,13.61,Overcurrent fault,
3/28/2022 12:04,3109.12,13.52,Overcurrent fault,
3/28/2022 12:05,3090.05,13.44,Overcurrent fault,
3/28/2022 12:06,3088.16,13.43,Overcurrent fault,
3/28/2022 12:07,3062.4,13.31,Overcurrent fault,
3/28/2022 12:08,3066.71,13.33,Overcurrent fault,
3/28/2022 12:09,3046.62,13.25,Overcurrent fault,
3/28/2022 12:10,3051.01,13.28,Overcurrent fault,
3/28/2022 12:11,3084.69,13.42,Overcurrent fault,
3/28/2022 12:12,3059.52,13.31,Overcurrent fault,
3/28/2022 12:13,3057.46,13.3,Overcurrent fault,
